TIC m_TIC RAJ2000 DEJ2000 Tmag BJD0 Per Morph Sectors Transit_Times tpeak
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1504.9564745999999 1504.9564745999999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1505.4520925 1505.4520925
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1505.9477103999998 1505.9477103999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1506.4433282999998 1506.4433282999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1506.9389462 1506.9389462
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1507.4345641 1507.4345641
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1507.9301819999998 1507.9301819999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1508.4257999 1508.4257999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1508.9214178 1508.9214178
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1509.4170356999998 1509.4170356999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1509.9126535999999 1509.9126535999999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1510.4082715 1510.4082715
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1510.9038893999998 1510.9038893999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1511.3995072999999 1511.3995072999999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1511.8951252 1511.8951252
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1512.3907430999998 1512.3907430999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1512.8863609999999 1512.8863609999999
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1513.3819789 1513.3819789
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1513.8775968 1513.8775968
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1514.3732146999998 1514.3732146999998
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1514.8688326 1514.8688326
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1515.3644505 1515.3644505
294784522 1 071.3160744944 -70.9992893723 9.355 1354.288633 0.4956179 0.848 7.0 1515.8600683999998 1515.8600683999998
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1492.2710723999999 1492.2710723999999
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1493.3659581 1493.3659581
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1494.4608438 1494.4608438
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1495.5557294999999 1495.5557294999999
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1496.6506152 1496.6506152
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1497.7455009 1497.7455009
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1498.8403865999999 1498.8403865999999
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1499.9352723 1499.9352723
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1501.030158 1501.030158
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1502.1250436999999 1502.1250436999999
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1503.2199294 1503.2199294
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1504.3148151 1504.3148151
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1505.4097007999999 1505.4097007999999
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1506.5045865 1506.5045865
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1507.5994722 1507.5994722
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1508.6943578999999 1508.6943578999999
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1509.7892436 1509.7892436
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1510.8841293 1510.8841293
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1511.979015 1511.979015
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1513.0739007 1513.0739007
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1514.1687864 1514.1687864
149473467 1 085.2705184310 -61.8578410440 9.297 1325.848446 1.0948857 0.606 7.0 1515.2636721 1515.2636721
149976187 1 090.2961302550 -63.5335191718 10.737 1492.372537 0.8968788 0.674 7.0 1492.372537 1492.372537
149976187 1 090.2961302550 -63.5335191718 10.737 1492.372537 0.8968788 0.674 7.0 1493.2694158 1493.2694158
149976187 1 090.2961302550 -63.5335191718 10.737 1492.372537 0.8968788 0.674 7.0 1494.1662946 1494.1662946
